Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,174061995,2229.7600308120764,2748322,35.206413366694484,380482,3758560,48.147712321745125,70644,0.9049601414524077,14034,
United States of America,Americas,33072912,9991.74,109594,33.11,16551,592932,179.13,3377,1.02,322,Community transmission
India,South-East Asia,29183121,2114.71,741135,53.71,94052,359676,26.06,21687,1.57,6148,Clusters of cases
Brazil,Americas,17037129,8015.23,412649,194.13,52911,476792,224.31,11593,5.45,2378,Community transmission
France,Europe,5621275,8642.88,37043,56.95,5358,109336,168.11,411,0.63,93,Community transmission
Turkey,Europe,5306690,6292.09,42993,50.98,6454,48428,57.42,660,0.78,87,Community transmission
Russian Federation,Europe,5167949,3541.28,68767,47.12,11699,125278,85.85,2618,1.79,383,Clusters of cases
The United Kingdom,Europe,4535758,6681.43,41055,60.48,7312,127860,188.35,66,0.1,6,Community transmission
Italy,Europe,4237790,7105.44,14590,24.46,2198,126767,212.55,484,0.81,77,Clusters of cases
Argentina,Americas,4008771,8869.79,191632,424,31137,82667,182.91,3934,8.7,721,Community transmission
Spain,Europe,3715454,7849.67,23584,49.83,2162,80332,169.72,110,0.23,3,Community transmission
Germany,Europe,3709129,4459.87,16661,20.03,3187,89585,107.72,645,0.78,94,Community transmission
Colombia,Americas,3611602,7097.87,179180,352.14,18586,92923,182.62,3626,7.13,427,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,2990714,3560.67,55271,65.8,10598,81519,97.05,1031,1.23,157,Community transmission
Poland,Europe,2876667,7578.53,2575,6.78,378,74447,196.13,372,0.98,84,Community transmission
Mexico,Americas,2438011,1890.92,17352,13.46,3449,229100,177.69,1260,0.98,262,Community transmission
Ukraine,Europe,2219824,5075.77,10407,23.8,1785,51507,117.77,548,1.25,97,Community transmission
Peru,Americas,1987933,6029.18,26846,81.42,2934,187157,567.63,2650,8.04,400,Community transmission
Indonesia,South-East Asia,1877050,686.25,45277,16.55,7725,52162,19.07,1254,0.46,170,Community transmission
South Africa,Africa,1712939,2888.18,37926,63.95,8881,57310,96.63,599,1.01,127,Community transmission
Netherlands,Europe,1667560,9579.5,13600,78.13,1791,17700,101.68,56,0.32,5,Community transmission
Czechia,Europe,1664649,15566.28,2041,19.09,267,30211,282.51,75,0.7,9,Community transmission
Chile,Americas,1445770,7563.06,50797,265.73,5353,30141,157.67,756,3.95,37,Community transmission
Canada,Americas,1395410,3697.22,12196,32.31,1265,25791,68.33,225,0.6,30,Community transmission
Philippines,Western Pacific,1286217,1173.76,45535,41.55,5462,22190,20.25,1032,0.94,126,Community transmission
Iraq,Eastern Mediterranean,1237856,3077.52,27751,68.99,4616,16614,41.31,178,0.44,25,Community transmission
Sweden,Europe,1081898,10475.8,6084,58.91,1175,14562,141,12,0.12,0,Community transmission
Romania,Europe,1079294,5583.85,1152,5.96,140,31383,162.36,968,5.01,228,Community transmission
Belgium,Europe,1073358,9315.37,5679,49.29,3,25061,217.5,63,0.55,1,Community transmission
Pakistan,Eastern Mediterranean,936131,423.8,11464,5.19,1118,21453,9.71,523,0.24,77,Community transmission
Portugal,Europe,854522,8299.63,4260,41.38,890,17037,165.47,11,0.11,0,Clusters of cases
Israel,Europe,839624,9700.42,109,1.26,39,6428,74.26,15,0.17,10,Community transmission
Bangladesh,South-East Asia,817819,496.58,13526,8.21,2537,12949,7.86,255,0.15,36,Community transmission
Hungary,Europe,806385,8254.09,1083,11.09,0,29805,305.08,97,0.99,0,Community transmission
Japan,Western Pacific,767808,607.08,15617,12.35,2189,13841,10.94,596,0.47,98,Clusters of cases
Jordan,Eastern Mediterranean,741699,7269.33,3811,37.35,598,9561,93.71,72,0.71,12,Community transmission
Serbia,Europe,714252,10311.57,1263,18.23,198,6938,100.16,57,0.82,8,Community transmission
Switzerland,Europe,696225,8044.55,2329,26.91,1,10238,118.3,20,0.23,0,Community transmission
Austria,Europe,643651,7231.17,2135,23.99,328,10388,116.71,27,0.3,0,Community transmission
Malaysia,Western Pacific,633891,1958.51,46726,144.37,6239,3611,11.16,618,1.91,75,Community transmission
Nepal,South-East Asia,598813,2055.18,27702,95.08,3449,8179,28.07,624,2.14,81,Community transmission
United Arab Emirates,Eastern Mediterranean,589423,5959.55,14465,146.25,2179,1710,17.29,24,0.24,6,Community transmission
Lebanon,Eastern Mediterranean,541940,7940,1096,16.06,139,7780,113.99,40,0.59,6,Community transmission
Morocco,Eastern Mediterranean,522389,1415.28,2361,6.4,386,9190,24.9,30,0.08,3,Community transmission
Saudi Arabia,Eastern Mediterranean,461242,1324.88,8286,23.8,1274,7503,21.55,110,0.32,15,Community transmission
Kazakhstan,Europe,453975,2417.76,6700,35.68,0,7465,39.76,144,0.77,0,Clusters of cases
Ecuador,Americas,433870,2459.15,5005,28.37,885,20903,118.48,222,1.26,72,Community transmission
Bulgaria,Europe,419990,6041.73,980,14.1,131,17872,257.1,125,1.8,12,Clusters of cases
Greece,Europe,412420,3847.72,6878,64.17,886,12346,115.18,201,1.88,15,Community transmission
Belarus,Europe,401853,4252.72,5863,62.05,834,2939,31.1,68,0.72,10,Community transmission
Bolivia (Plurinational State of),Americas,392975,3366.52,18257,156.4,2981,15177,130.02,538,4.61,95,Community transmission
Slovakia,Europe,390809,7160.46,680,12.46,116,12433,227.8,58,1.06,3,Clusters of cases
Panama,Americas,383733,8893.48,4905,113.68,882,6408,148.51,31,0.72,4,Community transmission
Paraguay,Americas,379131,5315.51,20887,292.84,3135,10145,142.24,852,11.95,140,Community transmission
Tunisia,Eastern Mediterranean,360285,3048.45,11374,96.24,2102,13229,111.93,436,3.69,103,Community transmission
Croatia,Europe,358061,8823.22,952,23.46,0,8103,199.67,47,1.16,0,Community transmission
Georgia,Europe,351954,8822.73,4971,124.61,705,4996,125.24,143,3.58,14,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,339631,6657.59,1754,34.38,246,3790,74.29,15,0.29,2,Community transmission
Azerbaijan,Europe,334917,3303.2,629,6.2,68,4948,48.8,22,0.22,1,Clusters of cases
Costa Rica,Americas,333820,6553.05,12541,246.19,1900,4251,83.45,177,3.47,23,Community transmission
Uruguay,Americas,322978,9297.73,24972,718.88,4195,4749,136.71,407,11.72,57,Community transmission
Kuwait,Eastern Mediterranean,321648,7531.73,9802,229.52,1391,1806,42.29,27,0.63,5,Community transmission
Dominican Republic,Americas,304428,2806.33,8748,80.64,1440,3686,33.98,49,0.45,14,Community transmission
Denmark,Europe,288229,4950.04,5140,88.27,904,2520,43.28,4,0.07,0,Community transmission
Lithuania,Europe,277222,9921.73,1677,60.02,220,4327,154.86,38,1.36,7,Community transmission
Ethiopia,Africa,273398,237.81,1362,1.18,223,4226,3.68,48,0.04,6,Community transmission
Egypt,Eastern Mediterranean,270292,264.13,5735,5.6,765,15471,15.12,293,0.29,34,Clusters of cases
Ireland,Europe,264909,5336.13,2165,43.61,0,4941,99.53,0,0,0,Community transmission
Guatemala,Americas,263836,1472.66,6669,37.22,0,8331,46.5,117,0.65,0,Community transmission
Slovenia,Europe,255908,12210.16,1487,70.95,255,4709,224.68,5,0.24,0,Clusters of cases
Republic of Moldova,Europe,255601,6336.23,316,7.83,60,6145,152.33,25,0.62,4,Community transmission
Bahrain,Eastern Mediterranean,254920,14981.41,10194,599.09,1041,1171,68.82,140,8.23,10,Community transmission
Venezuela (Bolivarian Republic of),Americas,245300,862.64,9733,34.23,1679,2750,9.67,89,0.31,16,Community transmission
Honduras,Americas,242796,2451.34,3976,40.14,419,6532,65.95,153,1.54,39,Community transmission
Oman,Eastern Mediterranean,228579,4476.13,9050,177.22,1895,2448,47.94,78,1.53,14,Community transmission
Armenia,Europe,223460,7541.09,482,16.27,76,4478,151.12,30,1.01,4,Community transmission
Qatar,Eastern Mediterranean,219138,7606.18,1256,43.6,158,573,19.89,11,0.38,3,Community transmission
Sri Lanka,South-East Asia,213396,996.56,20849,97.36,2735,1910,8.92,344,1.61,66,Clusters of cases
Bosnia and Herzegovina,Europe,204512,6233.57,340,10.36,57,9467,288.56,164,5,7,Community transmission
Libya,Eastern Mediterranean,188157,2738.31,1834,26.69,229,3152,45.87,21,0.31,3,Community transmission
Thailand,South-East Asia,187538,268.68,18190,26.06,2310,1375,1.97,229,0.33,43,Clusters of cases
Kenya,Africa,173661,322.96,2435,4.53,589,3345,6.22,139,0.26,19,Community transmission
Nigeria,Africa,166982,81,422,0.2,64,2117,1.03,18,0.01,0,Community transmission
North Macedonia,Europe,155469,7462.34,124,5.95,28,5467,262.41,38,1.82,5,Clusters of cases
Cuba,Americas,152420,1345.68,7906,69.8,1161,1045,9.23,68,0.6,12,Community transmission
Republic of Korea,Western Pacific,146303,285.36,4147,8.09,611,1979,3.86,11,0.02,2,Clusters of cases
Myanmar,South-East Asia,144715,265.97,892,1.64,136,3233,5.94,15,0.03,5,Clusters of cases
Puerto Rico,Americas,139142,4863.65,371,12.97,10,2524,88.23,15,0.52,2,Community transmission
Latvia,Europe,135388,7097.02,1522,79.78,244,2428,127.28,42,2.2,5,Community transmission
Albania,Europe,132415,4601.26,64,2.22,18,2452,85.2,1,0.03,0,Clusters of cases
Algeria,Africa,132034,301.1,2394,5.46,387,3544,8.08,54,0.12,7,Community transmission
Estonia,Europe,130364,9809.36,455,34.24,54,1266,95.26,6,0.45,1,Clusters of cases
Norway,Europe,127254,2370.79,1724,32.12,191,789,14.7,5,0.09,4,Clusters of cases
China,Western Pacific,115229,7.83,2772,0.19,301,5179,0.35,184,0.01,25,Clusters of cases
Kyrgyzstan,Europe,108667,1665.6,2827,43.33,494,1869,28.65,39,0.6,5,Clusters of cases
Kosovo[1],Europe,107490,5986.08,86,4.79,21,2237,124.58,4,0.22,1,Community transmission
Zambia,Africa,103763,564.42,7200,39.16,1767,1324,7.2,40,0.22,3,Community transmission
Uzbekistan,Europe,102605,306.57,1608,4.8,243,702,2.1,9,0.03,1,Clusters of cases
Montenegro,Europe,99858,15899.39,108,17.2,0,1596,254.12,9,1.43,0,Clusters of cases
Ghana,Africa,94369,303.7,358,1.15,141,789,2.54,4,0.01,2,Community transmission
Finland,Europe,93520,1692.58,750,13.57,126,964,17.45,5,0.09,5,Community transmission
Afghanistan,Eastern Mediterranean,85892,220.64,10773,27.67,1842,3356,8.62,322,0.83,51,Community transmission
Cameroon,Africa,79904,301,975,3.67,0,1302,4.9,27,0.1,0,Community transmission
El Salvador,Americas,74983,1156.04,1281,19.75,842,2279,35.14,24,0.37,0,Community transmission
Cyprus,Europe,72996,8220.22,423,47.63,77,367,41.33,6,0.68,2,Clusters of cases
Mozambique,Africa,71239,227.93,316,1.01,74,840,2.69,4,0.01,1,Community transmission
Luxembourg,Europe,70343,11234.96,316,50.47,52,818,130.65,0,0,0,Community transmission
Maldives,South-East Asia,69213,12804.32,3345,618.82,341,191,35.33,20,3.7,2,Clusters of cases
Mongolia,Western Pacific,69022,2105.43,8650,263.86,1312,324,9.88,38,1.16,6,Clusters of cases
Singapore,Western Pacific,62223,1063.58,123,2.1,4,34,0.58,1,0.02,0,Sporadic cases
